frame,rep,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,elbow_angle,head_angle,spine_angle
0,0,0.3361642062664032,0.4525972902774811,-0.2491559088230133,0.9995937943458557,0.34954512119293213,0.3425704538822174,-0.4918615221977234,0.9962623715400696,0.3542395830154419,0.247285857796669,-0.3784801959991455,0.8377352356910706,0.41996467113494873,0.6985120177268982,-0.16416490077972412,0.9887245297431946,175.88658032841568,-177.00088881285308,173.19685089072007
1,0,0.33683815598487854,0.45919084548950195,-0.3439302146434784,0.999626636505127,0.3354463577270508,0.3427406847476959,-0.6857277750968933,0.996306300163269,0.35330790281295776,0.23670990765094757,-0.7228781580924988,0.8519181609153748,0.42849692702293396,0.6985117793083191,-0.15765097737312317,0.989814043045044,169.75318391796034,-178.31284150574146,168.79543495399574
2,0,0.34479185938835144,0.46297967433929443,-0.45095059275627136,0.9996569752693176,0.3275028169155121,0.3432946801185608,-0.7867301106452942,0.9964256882667542,0.35258203744888306,0.23149918019771576,-0.7978513240814209,0.8643225431442261,0.4359916150569916,0.6985048055648804,-0.16014590859413147,0.9907744526863098,159.13631713257865,-177.77622328110164,168.1240641642301
3,0,0.3474184572696686,0.46351882815361023,-0.3993641436100006,0.9996780157089233,0.32567262649536133,0.3435401916503906,-0.7208495140075684,0.9964837431907654,0.3544023633003235,0.22868503630161285,-0.7269043326377869,0.8756173253059387,0.4430588483810425,0.6984184980392456,-0.17036350071430206,0.9915476441383362,155.68307579679623,-177.65577189975596,167.4328303478237
4,0,0.34719058871269226,0.4639647603034973,-0.45205095410346985,0.9997005462646484,0.32325974106788635,0.34354037046432495,-0.7920318841934204,0.9966862797737122,0.35743170976638794,0.2293626219034195,-0.7834373712539673,0.8864436745643616,0.44714614748954773,0.6997789144515991,-0.17074236273765564,0.9921967387199402,152.09876863039702,-177.5884167978937,166.32781205053666
5,0,0.3509921133518219,0.46486756205558777,-0.4243578016757965,0.9997135400772095,0.3244366943836212,0.3438434600830078,-0.7758984565734863,0.9967244267463684,0.36417606472969055,0.23041203618049622,-0.7935085296630859,0.8958545327186584,0.44941210746765137,0.705155611038208,-0.18078656494617462,0.992843508720398,148.31683106726422,-177.9514618779,166.36642519639932
6,0,0.3598328232765198,0.4647560119628906,-0.4376274347305298,0.9997103810310364,0.32515373826026917,0.3472897708415985,-0.8045600652694702,0.9966496825218201,0.36946767568588257,0.23099005222320557,-0.8456117510795593,0.9039701223373413,0.46035584807395935,0.7114244103431702,-0.1934957206249237,0.9933421015739441,142.69357933362477,-178.24142164829343,166.58407262564012
7,0,0.3606540262699127,0.46448102593421936,-0.42173272371292114,0.9996961355209351,0.32585397362709045,0.3479997515678406,-0.784064769744873,0.9968082308769226,0.37112465500831604,0.23142573237419128,-0.7995283603668213,0.9123361110687256,0.4585340619087219,0.7129679322242737,-0.1916881650686264,0.9935404062271118,142.1425877829448,-178.2454944598024,166.87498169462583
8,0,0.3607167899608612,0.46439260244369507,-0.41585493087768555,0.9996879696846008,0.32632142305374146,0.34792229533195496,-0.7763511538505554,0.9969267249107361,0.3732054531574249,0.23086974024772644,-0.7844852209091187,0.9198271036148071,0.45896732807159424,0.7123940587043762,-0.19003672897815704,0.9937664270401001,141.7193747057134,-178.2862482322066,166.7122167144906
9,0,0.3603457510471344,0.46425771713256836,-0.43664678931236267,0.999681830406189,0.326674222946167,0.34686076641082764,-0.7926485538482666,0.9970747828483582,0.3751348853111267,0.23010917007923126,-0.7948542237281799,0.9267785549163818,0.4579496681690216,0.7118948101997375,-0.1884816288948059,0.9939876198768616,141.4540563758703,-178.34993284176448,166.81632792078756
10,0,0.3600395917892456,0.46416282653808594,-0.42709881067276,0.9996749758720398,0.3269277513027191,0.34399306774139404,-0.7786235213279724,0.9972301125526428,0.37512028217315674,0.22802424430847168,-0.7712502479553223,0.9331512451171875,0.457589715719223,0.7115821242332458,-0.162406787276268,0.9942669868469238,142.02883276994558,-178.5678269908243,166.7182677384418
11,0,0.35972079634666443,0.46406984329223633,-0.4388451874256134,0.9996694922447205,0.32710039615631104,0.3416140675544739,-0.8158354163169861,0.9973609447479248,0.3748683035373688,0.22690486907958984,-0.8325907588005066,0.9389704465866089,0.45719099044799805,0.7116715312004089,-0.1608259677886963,0.9945001006126404,142.47552190423303,-178.81788928832466,166.74112176718936
12,0,0.3594798445701599,0.46399569511413574,-0.44424673914909363,0.9996702671051025,0.32680821418762207,0.3396787941455841,-0.8318761587142944,0.9974789023399353,0.37114351987838745,0.22601212561130524,-0.8706021904945374,0.9443643689155579,0.4566551744937897,0.7114944458007812,-0.16150560975074768,0.9948237538337708,143.96701673234102,-178.85218897088876,166.65230823138307
13,0,0.36017462611198425,0.4639328420162201,-0.4053969383239746,0.9996631741523743,0.3266196548938751,0.3397747576236725,-0.7700366377830505,0.9974784255027771,0.37016725540161133,0.2267826497554779,-0.7944598197937012,0.9487158060073853,0.45614346861839294,0.7113876938819885,-0.16741341352462769,0.9950971007347107,143.79968003628557,-178.95912789318962,166.54696731309065
14,0,0.36018356680870056,0.46394258737564087,-0.4054822027683258,0.9996527433395386,0.32125404477119446,0.3416762351989746,-0.7728894948959351,0.9974732398986816,0.3632233738899231,0.22850874066352844,-0.7960246801376343,0.9526001214981079,0.457107812166214,0.7102811336517334,-0.16756513714790344,0.9953237175941467,141.99074393927884,-179.22136325073197,166.0831433951986
15,0,0.36066707968711853,0.46355491876602173,-0.4160498380661011,0.9996461868286133,0.3213733732700348,0.34170228242874146,-0.7952656149864197,0.9975323677062988,0.3629049062728882,0.2308010458946228,-0.8177659511566162,0.9563625454902649,0.4569593667984009,0.7100668549537659,-0.1656138300895691,0.9955472946166992,141.59661274468766,-179.46030219226753,165.96958030537849
16,0,0.3600727915763855,0.4633832573890686,-0.41578251123428345,0.9996325373649597,0.3213752806186676,0.3416976034641266,-0.7920839786529541,0.9975493550300598,0.3621799349784851,0.23166605830192566,-0.8048438429832458,0.9592247009277344,0.45812979340553284,0.7092211246490479,-0.16545794904232025,0.9956355690956116,142.01165634288492,-179.5932639728094,164.8908182221357
17,0,0.35958096385002136,0.46360185742378235,-0.3836609125137329,0.9996227025985718,0.3216923475265503,0.34238719940185547,-0.7286555171012878,0.9975486993789673,0.36358460783958435,0.23801667988300323,-0.7043277025222778,0.9615146517753601,0.45938557386398315,0.7107135653495789,-0.1704486757516861,0.9955255389213562,140.77253516245628,-179.59834275527214,164.2933165010582
18,0,0.35978564620018005,0.4635741710662842,-0.3829191327095032,0.9996214509010315,0.3217201232910156,0.3425407111644745,-0.7347688674926758,0.9973291754722595,0.3663826584815979,0.2377428263425827,-0.7086970210075378,0.9625342488288879,0.46481645107269287,0.7105902433395386,-0.18243077397346497,0.9957086443901062,139.4587950924215,-179.2929706478973,163.38732532628114
19,0,0.35995548963546753,0.46739107370376587,-0.3739727735519409,0.9995959401130676,0.3233513832092285,0.3437039852142334,-0.7279451489448547,0.9973064661026001,0.3726844787597656,0.2395077794790268,-0.6974169015884399,0.9639774560928345,0.464486688375473,0.7131238579750061,-0.18212544918060303,0.9956716895103455,138.1784988910818,-179.44832034806478,163.61691196592147
20,0,0.3597959876060486,0.47104039788246155,-0.38223615288734436,0.9995396137237549,0.323860228061676,0.343702495098114,-0.7473151683807373,0.9972673654556274,0.3748355507850647,0.23967726528644562,-0.7094373106956482,0.9651818871498108,0.4644079804420471,0.715880274772644,-0.17468982934951782,0.9956103563308716,138.1343467529427,-179.6187939305147,163.7477429060349
21,0,0.3594284653663635,0.4723678231239319,-0.39078378677368164,0.9995489120483398,0.3237272799015045,0.3459579348564148,-0.7474444508552551,0.9971171617507935,0.3741605877876282,0.24079295992851257,-0.7242304682731628,0.966602623462677,0.4655684530735016,0.715837836265564,-0.17481495440006256,0.9959151744842529,138.6083603360369,-179.2804753068701,163.3408426705646
22,0,0.3536096215248108,0.47200262546539307,-0.4035486578941345,0.9995699524879456,0.3205306828022003,0.3463106155395508,-0.7609200477600098,0.9970360994338989,0.37381696701049805,0.24074554443359375,-0.7662856578826904,0.9680993556976318,0.46548810601234436,0.715663731098175,-0.18265460431575775,0.9961948394775391,138.472182086618,-179.15147612768695,161.93008131069487
23,0,0.35166653990745544,0.47184494137763977,-0.4379204511642456,0.999579668045044,0.3220631778240204,0.3462870419025421,-0.8222087025642395,0.9970025420188904,0.37363845109939575,0.24084968864917755,-0.8832250237464905,0.9699299335479736,0.4653540849685669,0.7154594659805298,-0.20277373492717743,0.9963210821151733,140.66756985679152,-178.61673617422616,161.34492926039024
24,0,0.35141420364379883,0.4715559184551239,-0.43563565611839294,0.9995874166488647,0.3228943347930908,0.35004276037216187,-0.8237525224685669,0.9969550371170044,0.3732050061225891,0.2427278459072113,-0.8970577716827393,0.9715443849563599,0.4624886214733124,0.7139407396316528,-0.20277893543243408,0.9964442253112793,141.67359893302094,-178.01584375576758,161.93235894807532
25,0,0.35112127661705017,0.47132936120033264,-0.43256792426109314,0.9995875358581543,0.32401180267333984,0.350126713514328,-0.8196591138839722,0.9969773292541504,0.37295258045196533,0.24328993260860443,-0.8821181654930115,0.973146378993988,0.4607278108596802,0.7140349745750427,-0.20313256978988647,0.9964650273323059,142.78012839858272,-177.8979966016891,162.4782193468261
26,0,0.3462047576904297,0.4712373912334442,-0.4317309260368347,0.9995802044868469,0.32258448004722595,0.3492591977119446,-0.8176912665367126,0.9968703389167786,0.3705718517303467,0.2431541234254837,-0.8619399070739746,0.9739053249359131,0.45896703004837036,0.7140149474143982,-0.2043759971857071,0.9965042471885681,144.70522041032802,-177.61247005116314,162.51480042427707
27,0,0.33592474460601807,0.47118598222732544,-0.4303848147392273,0.9995902180671692,0.3185148537158966,0.3453260064125061,-0.8173254132270813,0.9969275593757629,0.3687859773635864,0.2392754852771759,-0.8313835859298706,0.9751318097114563,0.45480114221572876,0.7140507102012634,-0.20323902368545532,0.9965352416038513,146.76204524632308,-177.0594754756914,161.5723318922791
