frame,rep,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,elbow_angle,head_angle,spine_angle
0,0,0.3649509847164154,0.4532560706138611,-0.2404087334871292,0.9999749660491943,0.37692567706108093,0.3448767066001892,-0.5393241047859192,0.9986696243286133,0.4325712025165558,0.245868518948555,-0.6001626253128052,0.9920176267623901,0.44681453704833984,0.6925495862960815,-0.17185446619987488,0.999404788017273,156.9676886735908,-175.7506451582816,170.79231009098694
1,0,0.36500927805900574,0.45327988266944885,-0.32383909821510315,0.9999735355377197,0.37767133116722107,0.34484079480171204,-0.6391482353210449,0.9985007643699646,0.4337191879749298,0.24235428869724274,-0.6602557897567749,0.9911162257194519,0.45134446024894714,0.6956449747085571,-0.1758066713809967,0.9994339942932129,157.9866857266127,-175.32990057621316,169.23502515197447
2,0,0.36604803800582886,0.45347824692726135,-0.33511772751808167,0.9999688863754272,0.3784221112728119,0.34629204869270325,-0.6592654585838318,0.9982374310493469,0.43434470891952515,0.24187515676021576,-0.6893932819366455,0.9897658824920654,0.4516642689704895,0.696976363658905,-0.17620639503002167,0.9994500875473022,158.41315473342675,-174.92482925275087,169.1735157820818
3,0,0.36604759097099304,0.4534701406955719,-0.33857229351997375,0.9999643564224243,0.37926533818244934,0.3462989926338196,-0.6651511788368225,0.9980732202529907,0.43588706851005554,0.24137558043003082,-0.6915310621261597,0.9890579581260681,0.45173379778862,0.6970364451408386,-0.1775529533624649,0.999441385269165,158.6775207506457,-174.78422774498475,169.02262453839967
4,0,0.36627620458602905,0.45331841707229614,-0.3226688802242279,0.9999642372131348,0.38134804368019104,0.3459152579307556,-0.6408969163894653,0.9979088306427002,0.437600702047348,0.24120861291885376,-0.689140796661377,0.9883800745010376,0.4518018364906311,0.6969761252403259,-0.17624962329864502,0.9994749426841736,159.74163328646324,-174.69184314954384,168.83424634734544
5,0,0.3663245737552643,0.45326054096221924,-0.31479719281196594,0.9999634623527527,0.382119357585907,0.3433615267276764,-0.6298869252204895,0.9977829456329346,0.44043803215026855,0.2405686229467392,-0.6559823751449585,0.9876171946525574,0.45177483558654785,0.6969267725944519,-0.17607709765434265,0.9994978904724121,158.610557095994,-174.78863509591932,168.63893502221896
6,0,0.3643939197063446,0.45325762033462524,-0.31189194321632385,0.9999639987945557,0.38211360573768616,0.34250128269195557,-0.6239013075828552,0.9976983070373535,0.44312071800231934,0.24082159996032715,-0.6492630839347839,0.9871782064437866,0.45146146416664124,0.6968860626220703,-0.17586062848567963,0.9995260834693909,158.1261394932061,-175.32403668251416,168.33191618802294
7,0,0.36369192600250244,0.45146021246910095,-0.3085421919822693,0.9999637603759766,0.3821150064468384,0.3385913074016571,-0.6282137632369995,0.9977326393127441,0.4452386498451233,0.24074915051460266,-0.64750736951828,0.9873062372207642,0.4508862793445587,0.6969597339630127,-0.17697495222091675,0.9995275139808655,156.44197292062114,-175.95122535469454,168.2285157953847
8,0,0.3634699583053589,0.4510943591594696,-0.2891618609428406,0.9999647736549377,0.38323065638542175,0.3364424407482147,-0.6116300225257874,0.9977279901504517,0.44660764932632446,0.2409975230693817,-0.6155235171318054,0.9870203733444214,0.4493253827095032,0.6970845460891724,-0.17715314030647278,0.9995468854904175,156.19425738638762,-175.65275119869963,167.7231568615934
9,0,0.35908082127571106,0.45103752613067627,-0.26339924335479736,0.9999654293060303,0.38028189539909363,0.3388057351112366,-0.598224937915802,0.9977279305458069,0.4493415057659149,0.2531466484069824,-0.6133478283882141,0.9871724843978882,0.4469631612300873,0.6972945332527161,-0.17678694427013397,0.9995625615119934,151.82109763320963,-175.90195379462006,167.01420210755396
10,0,0.34977054595947266,0.4543822109699249,-0.27271053194999695,0.9999585151672363,0.3804134726524353,0.3877004086971283,-0.6855927109718323,0.9975043535232544,0.4492167830467224,0.27330395579338074,-0.8389962911605835,0.9872369170188904,0.4461337924003601,0.7000274062156677,-0.1748965084552765,0.9994367957115173,173.65600851938643,-176.74268520155692,165.31111995672825
11,0,0.33203449845314026,0.45902884006500244,-0.2765272557735443,0.9999495148658752,0.3739456236362457,0.41233396530151367,-0.7310684323310852,0.9972139000892639,0.4441881775856018,0.29362237453460693,-0.9587882161140442,0.9868441224098206,0.4460817575454712,0.7020525932312012,-0.1743943989276886,0.9993080496788025,168.70346853940467,-178.1050347523527,162.5372806679
12,0,0.3174590468406677,0.4639878273010254,-0.22302138805389404,0.9999300241470337,0.3325234353542328,0.446886271238327,-0.7204651832580566,0.9965358376502991,0.42844635248184204,0.30675333738327026,-0.8972105383872986,0.9855644106864929,0.44316864013671875,0.7049880027770996,-0.16540229320526123,0.9990898966789246,173.01605257664252,-178.21925033892265,160.7050156973889
13,0,0.31735357642173767,0.46417438983917236,-0.2230503410100937,0.999904215335846,0.32525646686553955,0.47634005546569824,-0.7039007544517517,0.9955560564994812,0.4094495177268982,0.33393463492393494,-0.9873830676078796,0.9840426445007324,0.44280359148979187,0.7051324248313904,-0.15875418484210968,0.998816728591919,63.60046235069911,-178.5793529827789,159.6861600853852
14,0,0.30469051003456116,0.4681914448738098,-0.2263507843017578,0.9999063611030579,0.31215253472328186,0.573758065700531,-0.6550498604774475,0.9927018880844116,0.3506757318973541,0.5538532733917236,-1.0218812227249146,0.9805964231491089,0.4423234164714813,0.7056837677955627,-0.15948490798473358,0.9986438155174255,66.71802320010447,-179.49572549635394,157.18942484023884
15,0,0.2950194180011749,0.4735543429851532,-0.1932990550994873,0.999903678894043,0.32089588046073914,0.5274543166160583,-0.6334691047668457,0.9923876523971558,0.36461690068244934,0.41056475043296814,-0.9496604800224304,0.9808840751647949,0.44192707538604736,0.705873966217041,-0.15442560613155365,0.9986165165901184,46.15252749306328,179.5060636302795,154.9801028520306
16,0,0.28202977776527405,0.48072826862335205,-0.23889589309692383,0.9998995661735535,0.32549941539764404,0.5399417877197266,-0.6870958209037781,0.9924495220184326,0.36839333176612854,0.3976455628871918,-0.9546307325363159,0.9816153645515442,0.43981635570526123,0.7087079286575317,-0.15520238876342773,0.9985055923461914,53.05797716934726,176.1416591280554,153.23686565954603
17,0,0.26690712571144104,0.4862017333507538,-0.2600165903568268,0.9999063611030579,0.3217669129371643,0.5474745035171509,-0.7506330013275146,0.9928213953971863,0.3555615246295929,0.4166492819786072,-1.0768126249313354,0.9830430150032043,0.4385223686695099,0.7107980251312256,-0.15547387301921844,0.9985201358795166,56.32321850803916,173.52910382080526,150.25359328287175
18,0,0.26006272435188293,0.49189507961273193,-0.2614666521549225,0.9999075531959534,0.3154200315475464,0.5717980265617371,-0.7431237101554871,0.9927562475204468,0.3419152796268463,0.4355742633342743,-1.048391342163086,0.9840585589408875,0.4368477165699005,0.7108887434005737,-0.15560296177864075,0.9982714056968689,45.72097846323782,172.5613226149984,148.60333634507975
19,0,0.25381240248680115,0.496840238571167,-0.25654590129852295,0.999899685382843,0.3033592104911804,0.588358998298645,-0.7242456674575806,0.9926549792289734,0.32168281078338623,0.4578290283679962,-1.0301073789596558,0.9850038290023804,0.43654242157936096,0.7132526636123657,-0.15719729661941528,0.9971919655799866,36.421291468748095,171.59990087521354,146.74133732535134
20,0,0.24828281998634338,0.5018683075904846,-0.3068573772907257,0.9998981952667236,0.2776859700679779,0.6003790497779846,-0.8195709586143494,0.9928392767906189,0.30561283230781555,0.47496867179870605,-1.1896247863769531,0.9858843088150024,0.436273455619812,0.717143177986145,-0.16791337728500366,0.9969688653945923,29.173140919048542,168.40970179663609,145.30344516828302
21,0,0.24403932690620422,0.5117000937461853,-0.35143494606018066,0.9998980760574341,0.2643844187259674,0.6098718643188477,-0.8625442981719971,0.9930902123451233,0.2958805561065674,0.48277491331100464,-1.2027292251586914,0.9866026043891907,0.43134286999702454,0.7257024049758911,-0.16927678883075714,0.9969963431358337,25.626412554923146,170.0646968916295,145.8767351442328
